Source,Target,timeset,weight
BHR,NLD,"<[1962, 1963]>",0.00896522771304713
BHR,PRT,"<[1962, 1963]>",0.12709712622355798
BHR,USA,"<[1962, 1963]>",0.07169856213945291
DZA,NLD,"<[1962, 1963]>",0.004752778864564058
DZA,PRT,"<[1962, 1963]>",0.0017394635727935059
DZA,USA,"<[1962, 1963]>",0.004574572280485597
EGY,NLD,"<[1962, 1963]>",0.03607798942950669
EGY,PRT,"<[1962, 1963]>",0.0044362312509244614
EGY,USA,"<[1962, 1963]>",0.11233772992748646
IRQ,NLD,"<[1962, 1963]>",0.003203631313136579
IRQ,PRT,"<[1962, 1963]>",0.029308075650966887
IRQ,USA,"<[1962, 1963]>",0.019571495154937352
KWT,NLD,"<[1962, 1963]>",0.08832559621498505
KWT,USA,"<[1962, 1963]>",0.0693318932594141
LBY,NLD,"<[1962, 1963]>",0.0896768341143949
LBY,USA,"<[1962, 1963]>",0.07064454013792808
QAT,NLD,"<[1962, 1963]>",0.033712505893581636
QAT,USA,"<[1962, 1963]>",0.17169583797887628
SAU,NLD,"<[1962, 1963]>",0.03313313912661475
SAU,USA,"<[1962, 1963]>",0.0833099511979211
SYR,NLD,"<[1962, 1963]>",0.32745267468555983
SYR,PRT,"<[1962, 1963]>",0.043359012744202306
SYR,USA,"<[1962, 1963]>",0.02577608929559086
TUN,NLD,"<[1962, 1963]>",0.10282201619903016
TUN,USA,"<[1962, 1963]>",0.009494003547260332
TUN,ZAF,"<[1962, 1963]>",0.004036247574499736
BHR,NLD,"<[1963, 1964]>",0.00721119501989999
BHR,USA,"<[1963, 1964]>",0.030392450760281662
DZA,NLD,"<[1963, 1964]>",0.015896556099312866
DZA,PRT,"<[1963, 1964]>",0.003783421926777378
DZA,USA,"<[1963, 1964]>",0.0011659061625160123
EGY,NLD,"<[1963, 1964]>",0.03134493377045092
EGY,PRT,"<[1963, 1964]>",0.003958087288169373
EGY,USA,"<[1963, 1964]>",0.08575822518719492
IRQ,NLD,"<[1963, 1964]>",0.01613198038318234
IRQ,PRT,"<[1963, 1964]>",0.02448116506496548
IRQ,USA,"<[1963, 1964]>",0.018200940534387592
IRQ,ZAF,"<[1963, 1964]>",0.008734887052016761
KWT,NLD,"<[1963, 1964]>",0.0779105848201223
KWT,USA,"<[1963, 1964]>",0.044307788748402535
LBY,NLD,"<[1963, 1964]>",0.0968757834522334
LBY,PRT,"<[1963, 1964]>",0.005659491534496658
LBY,USA,"<[1963, 1964]>",0.04415344485992537
QAT,NLD,"<[1963, 1964]>",0.030925859657223182
QAT,USA,"<[1963, 1964]>",0.18811684325573805
SAU,NLD,"<[1963, 1964]>",0.05698800951130972
SAU,USA,"<[1963, 1964]>",0.08314966946314227
SYR,NLD,"<[1963, 1964]>",0.37313743134494964
SYR,PRT,"<[1963, 1964]>",0.032422305310979775
SYR,USA,"<[1963, 1964]>",0.036229878147481354
TUN,NLD,"<[1963, 1964]>",0.09801998024057636
TUN,PRT,"<[1963, 1964]>",0.006463323727205662
TUN,USA,"<[1963, 1964]>",0.005280753431579448
TUN,ZAF,"<[1963, 1964]>",0.004586403804072581
BHR,NLD,"<[1964, 1965]>",0.0023812689461881462
BHR,PRT,"<[1964, 1965]>",0.44038848260872837
BHR,USA,"<[1964, 1965]>",0.03713853292606044
DZA,NLD,"<[1964, 1965]>",0.012411425756386815
DZA,PRT,"<[1964, 1965]>",0.0015192258998683544
DZA,USA,"<[1964, 1965]>",0.0051705851079904275
EGY,NLD,"<[1964, 1965]>",0.05967071189416742
EGY,PRT,"<[1964, 1965]>",0.004620327032982113
EGY,USA,"<[1964, 1965]>",0.08490578979303111
IRQ,NLD,"<[1964, 1965]>",0.009264632174343772
IRQ,PRT,"<[1964, 1965]>",0.021923024327004752
IRQ,USA,"<[1964, 1965]>",0.01572700114672028
KWT,NLD,"<[1964, 1965]>",0.059744545599128646
KWT,USA,"<[1964, 1965]>",0.033715222813650234
LBY,NLD,"<[1964, 1965]>",0.09939309440016605
LBY,USA,"<[1964, 1965]>",0.04261071565107773
QAT,NLD,"<[1964, 1965]>",0.1269715580497189
QAT,USA,"<[1964, 1965]>",0.25895064362178954
SAU,NLD,"<[1964, 1965]>",0.04151344823753765
SAU,USA,"<[1964, 1965]>",0.08305289169307492
SYR,NLD,"<[1964, 1965]>",0.4486052967288358
SYR,PRT,"<[1964, 1965]>",0.0029828055249949753
SYR,USA,"<[1964, 1965]>",0.04877146948616084
TUN,NLD,"<[1964, 1965]>",0.0625647099089856
TUN,PRT,"<[1964, 1965]>",0.02232081320802182
TUN,USA,"<[1964, 1965]>",0.0064056956544079995
BHR,NLD,"<[1965, 1966]>",0.0016601957536798487
BHR,PRT,"<[1965, 1966]>",0.2027312429143356
