,Source,Target,weight,start,end
0,Africa,Africa,0.03634705471374571,1962-01-01,1962-12-31
1,Africa,Asia,0.10034917398941748,1962-01-01,1962-12-31
2,Africa,Oceania,0.0004198076189955017,1962-01-01,1962-12-31
3,Africa,Europe,0.682932949587315,1962-01-01,1962-12-31
4,Africa,North America,0.175530724817475,1962-01-01,1962-12-31
5,Africa,South America,0.004420289273051283,1962-01-01,1962-12-31
6,Asia,Asia,0.2760437435032931,1962-01-01,1962-12-31
7,Asia,Africa,0.023601034970951187,1962-01-01,1962-12-31
8,Asia,Oceania,0.041799782640871114,1962-01-01,1962-12-31
9,Asia,Europe,0.31768509768611186,1962-01-01,1962-12-31
10,Asia,North America,0.32355589023631354,1962-01-01,1962-12-31
11,Asia,South America,0.01731445096245925,1962-01-01,1962-12-31
12,Oceania,Oceania,0.0038280407577896713,1962-01-01,1962-12-31
13,Oceania,Africa,0.0024858656927250347,1962-01-01,1962-12-31
14,Oceania,Asia,0.14752616884189934,1962-01-01,1962-12-31
15,Oceania,Europe,0.5901963193689375,1962-01-01,1962-12-31
16,Oceania,North America,0.25389320418141564,1962-01-01,1962-12-31
17,Oceania,South America,0.002070401157232778,1962-01-01,1962-12-31
18,Europe,Europe,0.6331504177216594,1962-01-01,1962-12-31
19,Europe,Africa,0.0667360061050228,1962-01-01,1962-12-31
20,Europe,Asia,0.08054995870138427,1962-01-01,1962-12-31
21,Europe,Oceania,0.026943629853744773,1962-01-01,1962-12-31
22,Europe,North America,0.14665222152448795,1962-01-01,1962-12-31
23,Europe,South America,0.0459677660937009,1962-01-01,1962-12-31
24,North America,North America,0.4430956115781563,1962-01-01,1962-12-31
25,North America,Africa,0.03251879456753066,1962-01-01,1962-12-31
26,North America,Asia,0.13441592303465733,1962-01-01,1962-12-31
27,North America,Oceania,0.020563657009472654,1962-01-01,1962-12-31
28,North America,Europe,0.27735699089602656,1962-01-01,1962-12-31
29,North America,South America,0.09204902291415654,1962-01-01,1962-12-31
30,South America,South America,0.08746046791053666,1962-01-01,1962-12-31
31,South America,Africa,0.0027546321435030817,1962-01-01,1962-12-31
32,South America,Asia,0.06726679935342093,1962-01-01,1962-12-31
33,South America,Oceania,0.0012697141233167586,1962-01-01,1962-12-31
34,South America,Europe,0.42300370383469826,1962-01-01,1962-12-31
35,South America,North America,0.4182446826345243,1962-01-01,1962-12-31
36,Africa,Africa,0.03106901805219402,1963-01-01,1963-12-31
37,Africa,Asia,0.11365437177760751,1963-01-01,1963-12-31
38,Africa,Oceania,0.0048041726210217,1963-01-01,1963-12-31
39,Africa,Europe,0.6903475867407683,1963-01-01,1963-12-31
40,Africa,North America,0.1555607722709068,1963-01-01,1963-12-31
41,Africa,South America,0.004564078537501556,1963-01-01,1963-12-31
42,Asia,Asia,0.27720448441459206,1963-01-01,1963-12-31
43,Asia,Africa,0.023290295061511024,1963-01-01,1963-12-31
44,Asia,Oceania,0.057189720200350846,1963-01-01,1963-12-31
45,Asia,Europe,0.3042417772478007,1963-01-01,1963-12-31
46,Asia,North America,0.3221025514514679,1963-01-01,1963-12-31
47,Asia,South America,0.01597117162427748,1963-01-01,1963-12-31
48,Oceania,Oceania,0.10403113779866387,1963-01-01,1963-12-31
49,Oceania,Africa,0.01085122036330458,1963-01-01,1963-12-31
50,Oceania,Asia,0.1592842408106978,1963-01-01,1963-12-31
51,Oceania,Europe,0.5049190200692542,1963-01-01,1963-12-31
52,Oceania,North America,0.21828902254482918,1963-01-01,1963-12-31
53,Oceania,South America,0.002625358413250402,1963-01-01,1963-12-31
54,Europe,Europe,0.6421277143756962,1963-01-01,1963-12-31
55,Europe,Africa,0.06586585352886423,1963-01-01,1963-12-31
56,Europe,Asia,0.0788189238261293,1963-01-01,1963-12-31
57,Europe,Oceania,0.026220326428524773,1963-01-01,1963-12-31
58,Europe,North America,0.1428953257710843,1963-01-01,1963-12-31
59,Europe,South America,0.04407185606970129,1963-01-01,1963-12-31
60,North America,North America,0.44727491685252807,1963-01-01,1963-12-31
61,North America,Africa,0.03284193286896653,1963-01-01,1963-12-31
62,North America,Asia,0.13625083588617184,1963-01-01,1963-12-31
63,North America,Oceania,0.024030493768351063,1963-01-01,1963-12-31
64,North America,Europe,0.27419579806540384,1963-01-01,1963-12-31
65,North America,South America,0.08540602255857867,1963-01-01,1963-12-31
66,South America,South America,0.10916358113283199,1963-01-01,1963-12-31
67,South America,Africa,0.0030284198698960125,1963-01-01,1963-12-31
68,South America,Asia,0.06369422988354274,1963-01-01,1963-12-31
69,South America,Oceania,0.001688134076759352,1963-01-01,1963-12-31
70,South America,Europe,0.4009290529300417,1963-01-01,1963-12-31
71,South America,North America,0.4214965821069282,1963-01-01,1963-12-31
72,Africa,Africa,0.030294322217640363,1964-01-01,1964-12-31
73,Africa,Asia,0.1265090295666125,1964-01-01,1964-12-31
74,Africa,Oceania,0.006372619109643709,1964-01-01,1964-12-31
75,Africa,Europe,0.673114856801585,1964-01-01,1964-12-31
76,Africa,North America,0.15889789444168237,1964-01-01,1964-12-31
77,Africa,South America,0.00481127786283605,1964-01-01,1964-12-31
78,Asia,Asia,0.3080192906102327,1964-01-01,1964-12-31
79,Asia,Africa,0.02413751481568523,1964-01-01,1964-12-31
80,Asia,Oceania,0.053794957395639637,1964-01-01,1964-12-31
81,Asia,Europe,0.2978823550488565,1964-01-01,1964-12-31
82,Asia,North America,0.29502390887554364,1964-01-01,1964-12-31
83,Asia,South America,0.021141973254042257,1964-01-01,1964-12-31
84,Oceania,Oceania,0.10159974315097661,1964-01-01,1964-12-31
85,Oceania,Africa,0.01187966689058842,1964-01-01,1964-12-31
86,Oceania,Asia,0.17568654491110341,1964-01-01,1964-12-31
87,Oceania,Europe,0.46130022869333975,1964-01-01,1964-12-31
88,Oceania,North America,0.2473633915141773,1964-01-01,1964-12-31
89,Oceania,South America,0.002170424839814524,1964-01-01,1964-12-31
90,Europe,Europe,0.6353573203775903,1964-01-01,1964-12-31
91,Europe,Africa,0.06439657248433392,1964-01-01,1964-12-31
92,Europe,Asia,0.08313359655953281,1964-01-01,1964-12-31
93,Europe,Oceania,0.02758084329157695,1964-01-01,1964-12-31
94,Europe,North America,0.14893443572606518,1964-01-01,1964-12-31
95,Europe,South America,0.0405972315609008,1964-01-01,1964-12-31
96,North America,North America,0.4524655069243735,1964-01-01,1964-12-31
97,North America,Africa,0.031808969564833436,1964-01-01,1964-12-31
98,North America,Asia,0.1486268006699208,1964-01-01,1964-12-31
99,North America,Oceania,0.020053783793458374,1964-01-01,1964-12-31
100,North America,Europe,0.2694372417784029,1964-01-01,1964-12-31
101,North America,South America,0.07760769726901103,1964-01-01,1964-12-31
102,South America,South America,0.12098070617475659,1964-01-01,1964-12-31
103,South America,Africa,0.002304786211537269,1964-01-01,1964-12-31
104,South America,Asia,0.06633313956155026,1964-01-01,1964-12-31
105,South America,Oceania,0.0018243037599093117,1964-01-01,1964-12-31
106,South America,Europe,0.3648624367951429,1964-01-01,1964-12-31
107,South America,North America,0.44369462749710364,1964-01-01,1964-12-31
108,Africa,Africa,0.029724179342442057,1965-01-01,1965-12-31
109,Africa,Asia,0.1352732041808116,1965-01-01,1965-12-31
110,Africa,Oceania,0.00819829789099134,1965-01-01,1965-12-31
111,Africa,Europe,0.6721738762835153,1965-01-01,1965-12-31
112,Africa,North America,0.15051691300385245,1965-01-01,1965-12-31
113,Africa,South America,0.00411352929838728,1965-01-01,1965-12-31
114,Asia,Asia,0.3193384056661286,1965-01-01,1965-12-31
115,Asia,Africa,0.029171341063080048,1965-01-01,1965-12-31
116,Asia,Oceania,0.05019572526667399,1965-01-01,1965-12-31
117,Asia,Europe,0.3035522614560583,1965-01-01,1965-12-31
118,Asia,North America,0.27705042799176455,1965-01-01,1965-12-31
119,Asia,South America,0.020691838556294518,1965-01-01,1965-12-31
120,Oceania,Oceania,0.09762828549190593,1965-01-01,1965-12-31
121,Oceania,Africa,0.012744207434161232,1965-01-01,1965-12-31
122,Oceania,Asia,0.18797460864662083,1965-01-01,1965-12-31
123,Oceania,Europe,0.4525483935349919,1965-01-01,1965-12-31
124,Oceania,North America,0.24643816187730627,1965-01-01,1965-12-31
125,Oceania,South America,0.0026663430150138633,1965-01-01,1965-12-31
126,Europe,Europe,0.6433173333175201,1965-01-01,1965-12-31
127,Europe,Africa,0.07375464337098248,1965-01-01,1965-12-31
128,Europe,Asia,0.08157956439408487,1965-01-01,1965-12-31
129,Europe,Oceania,0.023445459397331888,1965-01-01,1965-12-31
130,Europe,North America,0.13755772514483702,1965-01-01,1965-12-31
131,Europe,South America,0.04034527437524374,1965-01-01,1965-12-31
132,North America,North America,0.4418724318496019,1965-01-01,1965-12-31
133,North America,Africa,0.027413540281773917,1965-01-01,1965-12-31
134,North America,Asia,0.161300007982561,1965-01-01,1965-12-31
135,North America,Oceania,0.017440663276045817,1965-01-01,1965-12-31
136,North America,Europe,0.2808041629504046,1965-01-01,1965-12-31
137,North America,South America,0.07116919365961272,1965-01-01,1965-12-31
138,South America,South America,0.137927665670685,1965-01-01,1965-12-31
139,South America,Africa,0.0031421464686718728,1965-01-01,1965-12-31
140,South America,Asia,0.06932501045924717,1965-01-01,1965-12-31
141,South America,Oceania,0.0029980032037221845,1965-01-01,1965-12-31
142,South America,Europe,0.36191134518795154,1965-01-01,1965-12-31
143,South America,North America,0.42469582900972225,1965-01-01,1965-12-31
144,Africa,Africa,0.04980236402402673,1966-01-01,1966-12-31
145,Africa,Asia,0.13708166508843514,1966-01-01,1966-12-31
146,Africa,Oceania,0.007895097638173108,1966-01-01,1966-12-31
147,Africa,Europe,0.6448863212988779,1966-01-01,1966-12-31
148,Africa,North America,0.1558723510045279,1966-01-01,1966-12-31
149,Africa,South America,0.0044622009459592245,1966-01-01,1966-12-31
150,Asia,Asia,0.3317912612089576,1966-01-01,1966-12-31
151,Asia,Africa,0.02878972498686621,1966-01-01,1966-12-31
152,Asia,Oceania,0.04775700409018663,1966-01-01,1966-12-31
153,Asia,Europe,0.29647297731748085,1966-01-01,1966-12-31
154,Asia,North America,0.27378111271592553,1966-01-01,1966-12-31
155,Asia,South America,0.021407919680583216,1966-01-01,1966-12-31
156,Oceania,Oceania,0.10506512501952746,1966-01-01,1966-12-31
157,Oceania,Africa,0.013240860633132628,1966-01-01,1966-12-31
158,Oceania,Asia,0.18592414540161842,1966-01-01,1966-12-31
159,Oceania,Europe,0.45486718799576453,1966-01-01,1966-12-31
160,Oceania,North America,0.23860352558719522,1966-01-01,1966-12-31
161,Oceania,South America,0.0022991553627617774,1966-01-01,1966-12-31
162,Europe,Europe,0.64677929617277,1966-01-01,1966-12-31
163,Europe,Africa,0.0730067520674422,1966-01-01,1966-12-31
164,Europe,Asia,0.08169828945508992,1966-01-01,1966-12-31
165,Europe,Oceania,0.020728575044086487,1966-01-01,1966-12-31
166,Europe,North America,0.13765192726646397,1966-01-01,1966-12-31
167,Europe,South America,0.0401351599941475,1966-01-01,1966-12-31
168,North America,North America,0.44828277998253024,1966-01-01,1966-12-31
169,North America,Africa,0.02633621514630164,1966-01-01,1966-12-31
170,North America,Asia,0.15880894226658177,1966-01-01,1966-12-31
171,North America,Oceania,0.018831786448753576,1966-01-01,1966-12-31
172,North America,Europe,0.28264082149979886,1966-01-01,1966-12-31
173,North America,South America,0.0650994546560339,1966-01-01,1966-12-31
174,South America,South America,0.1211935323277351,1966-01-01,1966-12-31
175,South America,Africa,0.004532575164207571,1966-01-01,1966-12-31
176,South America,Asia,0.06590770124796025,1966-01-01,1966-12-31
177,South America,Oceania,0.0026390231831529623,1966-01-01,1966-12-31
178,South America,Europe,0.3728672340241199,1966-01-01,1966-12-31
179,South America,North America,0.43285993405282425,1966-01-01,1966-12-31
180,Africa,Africa,0.04767099593611395,1967-01-01,1967-12-31
181,Africa,Asia,0.1470789546145256,1967-01-01,1967-12-31
182,Africa,Oceania,0.009302676126445067,1967-01-01,1967-12-31
183,Africa,Europe,0.6591879321007595,1967-01-01,1967-12-31
184,Africa,North America,0.13114170558369553,1967-01-01,1967-12-31
185,Africa,South America,0.005617735638460314,1967-01-01,1967-12-31
186,Asia,Asia,0.32468069016102485,1967-01-01,1967-12-31
187,Asia,Africa,0.03426437931932145,1967-01-01,1967-12-31
188,Asia,Oceania,0.055618549052286234,1967-01-01,1967-12-31
189,Asia,Europe,0.29196276422942946,1967-01-01,1967-12-31
190,Asia,North America,0.2750392259627249,1967-01-01,1967-12-31
191,Asia,South America,0.01843439127521311,1967-01-01,1967-12-31
192,Oceania,Oceania,0.10364273553144963,1967-01-01,1967-12-31
193,Oceania,Africa,0.013512040980462565,1967-01-01,1967-12-31
194,Oceania,Asia,0.1981441336867917,1967-01-01,1967-12-31
195,Oceania,Europe,0.4253633464075579,1967-01-01,1967-12-31
196,Oceania,North America,0.25725700493006953,1967-01-01,1967-12-31
