Source,Target,weight,timeset
AFG,PAK,0.3253282569807521,"<[2021, 2022]>"
AFG,IND,0.2856913851115242,"<[2021, 2022]>"
AGO,CHN,0.6123152793470188,"<[2021, 2022]>"
AGO,IND,0.07308638578725735,"<[2021, 2022]>"
ALB,ITA,0.4262623697012008,"<[2021, 2022]>"
ALB,ESP,0.06708385336955835,"<[2021, 2022]>"
ARE,IND,0.15153063045412957,"<[2021, 2022]>"
ARE,CHN,0.09001209851130232,"<[2021, 2022]>"
ARG,BRA,0.15111865377521258,"<[2021, 2022]>"
ARG,CHN,0.08356611568003643,"<[2021, 2022]>"
ARM,CHN,0.28316126848158485,"<[2021, 2022]>"
ARM,RUS,0.2243194348855652,"<[2021, 2022]>"
ATA,KOR,0.2751607136345865,"<[2021, 2022]>"
ATA,LUX,0.17449086857445537,"<[2021, 2022]>"
ATF,FRA,0.7685386484899879,"<[2021, 2022]>"
ATF,POL,0.10057765440818958,"<[2021, 2022]>"
AUS,CHN,0.43216177869926903,"<[2021, 2022]>"
AUS,JPN,0.1235952728118588,"<[2021, 2022]>"
AUT,DEU,0.29102667125137577,"<[2021, 2022]>"
AUT,USA,0.07317161565635687,"<[2021, 2022]>"
AZE,ITA,0.4906383296009007,"<[2021, 2022]>"
AZE,TUR,0.0578948005018524,"<[2021, 2022]>"
BDI,ARE,0.3286570145225345,"<[2021, 2022]>"
BDI,DEU,0.0976146233036246,"<[2021, 2022]>"
BEL,FRA,0.15582960097783827,"<[2021, 2022]>"
BEL,DEU,0.1541946272886066,"<[2021, 2022]>"
BEN,ARE,0.330103062609774,"<[2021, 2022]>"
BEN,BGD,0.22668365575050997,"<[2021, 2022]>"
BFA,CHE,0.7124464028376073,"<[2021, 2022]>"
BFA,IND,0.1065820140702049,"<[2021, 2022]>"
BGD,USA,0.16590867863131925,"<[2021, 2022]>"
BGD,DEU,0.16005245879895888,"<[2021, 2022]>"
BGR,DEU,0.15465497045378654,"<[2021, 2022]>"
BGR,ROU,0.1130828772031726,"<[2021, 2022]>"
BHS,USA,0.4190827045174666,"<[2021, 2022]>"
BHS,DEU,0.16973440685972177,"<[2021, 2022]>"
BIH,ITA,0.13587946507966564,"<[2021, 2022]>"
BIH,DEU,0.13379715584877921,"<[2021, 2022]>"
BLR,RUS,0.5392414228438092,"<[2021, 2022]>"
BLR,UKR,0.058901857496037886,"<[2021, 2022]>"
BLZ,GBR,0.18643877797338598,"<[2021, 2022]>"
BLZ,USA,0.1750140308232572,"<[2021, 2022]>"
BOL,IND,0.17958007807763685,"<[2021, 2022]>"
BOL,BRA,0.13520596745839314,"<[2021, 2022]>"
BRA,CHN,0.33159297263165344,"<[2021, 2022]>"
BRA,USA,0.10554011130546696,"<[2021, 2022]>"
BRN,JPN,0.288684041930828,"<[2021, 2022]>"
BRN,CHN,0.27254530059221366,"<[2021, 2022]>"
BTN,IND,0.9315389954691994,"<[2021, 2022]>"
BTN,NPL,0.03346962137183555,"<[2021, 2022]>"
BWA,ARE,0.3191378671963566,"<[2021, 2022]>"
BWA,BEL,0.2210070011697326,"<[2021, 2022]>"
